Snow;#FFFAFA
Ghost White;#F8F8FF
White Smoke;#F5F5F5
Gainsboro;#DCDCDC
Floral White;#FFFAF0
Old Lace;#FDF5E6
Linen;#FAF0E6
Antique White;#FAEBD7
Papaya Whip;#FFEFD5
Blanched Almond;#FFEBCD
Bisque;#FFE4C4
Peach Puff;#FFDAB9
Navajo White;#FFDEAD
Moccasin;#FFE4B5
Cornsilk;#FFF8DC
Ivory;#FFFFF0
Lemon Chiffon;#FFFACD
Seashell;#FFF5EE
Honeydew;#F0FFF0
Mint Cream;#F5FFFA
Azure;#F0FFFF
Alice Blue;#F0F8FF
lavender;#E6E6FA
Lavender Blush;#FFF0F5
Misty Rose;#FFE4E1
White;#FFFFFF
Black;#000000
Dark Slate Gray;#2F4F4F
Dim Grey;#696969
Slate Grey;#708090
Light Slate Gray;#778899
Grey;#BEBEBE
Light Gray;#D3D3D3
Midnight Blue;#191970
Navy Blue;#000080
Cornflower Blue;#6495ED
Dark Slate Blue;#483D8B
Slate Blue;#6A5ACD
Medium Slate Blue;#7B68EE
Light Slate Blue;#8470FF
Medium Blue;#0000CD
Royal Blue;#4169E1
Blue;#0000FF
Snow2;#EEE9E9
Snow3;#CDC9C9
Snow4;#8B8989
Seashell 1;#FFF5EE
Seashell 2;#EEE5DE
Seashell 3;#CDC5BF
Seashell 4;#8B8682
Antique White 1;#FFEFDB
Antique White 2;#EEDFCC
Antique White 3;#CDC0B0
Antique White 4;#8B8378
Bisque 1;#FFE4C4
Bisque 2;#EED5B7
Bisque 3;#CDB79E
Bisque 4;#8B7D6B
Peach Puff 1;#FFDAB9
Peach Puff 2;#EECBAD
Peach Puff 3;#CDAF95
Peach Puff 4;#8B7765
Navajo White 1;#FFDEAD
Navajo White 2;#EECFA1
Navajo White 3;#CDB38B
Navajo White 4;#8B795E
Lemon Chiffon 1;#FFFACD
Lemon Chiffon 2;#EEE9BF
Lemon Chiffon 3;#CDC9A5
Lemon Chiffon 4;#8B8970
Cornsilk 1;#FFF8DC
Cornsilk 2;#EEE8CD
Cornsilk 3;#CDC8B1
Cornsilk 4;#8B8878
Ivory 1;#FFFFF0
Ivory 2;#EEEEE0
Ivory 3;#CDCDC1
Ivory 4;#8B8B83
Honeydew 1;#F0FFF0
Honeydew 2;#E0EEE0
Honeydew 3;#C1CDC1
Honeydew 4;#838B83
Lavender Blush 1;#FFF0F5
Lavender Blush 2;#EEE0E5
Lavender Blush 3;#CDC1C5
Lavender Blush 4;#8B8386
Firebrick 4;#8B1A1A
Brown 1;#FF4040
Brown 2;#EE3B3B
Brown 3;#CD3333
Brown 4;#8B2323
Salmon 1;#FF8C69
Salmon 2;#EE8262
Salmon 3;#CD7054
Salmon 4;#8B4C39
Light Salmon 1;#FFA07A
Light Salmon 2;#EE9572
Light Salmon 3;#CD8162
Light Salmon 4;#8B5742
Orange 1;#FFA500
Orange 2;#EE9A00
Orange 3;#CD8500
Orange 4;#8B5A00
Dark Orange 1;#FF7F00
Dark Orange 2;#EE7600
Dark Orange 3;#CD6600
Dark Orange 4;#8B4500
Coral 1;#FF7256
Coral 2;#EE6A50
Coral 3;#CD5B45
Coral 4;#8B3E2F
Tomato 1;#FF6347
Tomato 2;#EE5C42
Tomato 3;#CD4F39
Tomato 4;#8B3626
Orange Red 1;#FF4500
Orange Red 2;#EE4000
Orange Red 3;#CD3700
Orange Red 4;#8B2500
Red 1 ;#FF0000
Red 2 ;#EE0000
Red 3 ;#CD0000
Red 4 ;#8B0000
Deep Pink 1;#FF1493
Deep Pink 2;#EE1289
Deep Pink 3;#CD1076
Deep Pink 4;#8B0A50
Hot Pink 1;#FF6EB4
Hot Pink 2;#EE6AA7
Gold 2;#EEC900
Gold 4;#8B7500
Goldenrod 1;#FFC125
Goldenrod 2;#EEB422
Goldenrod 3;#CD9B1D
Goldenrod 4;#8B6914
Dark Goldenrod1;#FFB90F
Dark Goldenrod2;#EEAD0E
Dark Goldenrod3;#CD950C
Dark Goldenrod4;#8B658B
Rosy Brown 1;#FFC1C1
Rosy Brown 2;#EEB4B4
Rosy Brown 3;#CD9B9B
Rosy Brown 4;#8B6969
Indian Red 1;#FF6A6A
Indian Red 2;#EE6363
Indian Red 3;#CD5555
Indian Red 4;#8B3A3A
Sienna 1;#FF8247
Sienna 2;#EE7942
Sienna 3;#CD6839
Sienna 4;#8B4726
Burlywood 1;#FFD39B
Burlywood 2;#EEC591
Burlywood 3;#CDAA7D
Burlywood 4;#8B7355
Wheat 1;#FFE7BA
Wheat 2;#EED8AE
Wheat 3;#CDBA96
Wheat 4;#8B7E66
Tan 1;#FFA54F
Dodger Blue;#1E90FF
Deep Sky Blue;#00BFFF
Sky Blue;#87CEEB
Light Sky Blue;#87CEFA
Steel Blue;#4682B4
Light Steel Blue;#B0C4DE
Light Blue;#ADD8E6
Powder Blue;#B0E0E6
Pale Turquoise;#AFEEEE
Dark Turquoise;#00CED1
Medium Turquoise;#48D1CC
Turquoise;#40E0D0
Cyan;#00FFFF
Light Cyan;#E0FFFF
Cadet Blue;#5F9EA0
Medium Aquamarine;#66CDAA
Aquamarine;#7FFFD4
Dark Green;#006400
Dark Olive Green;#556B2F
Dark Sea Green;#8FBC8F
Sea Green;#2E8B57
Medium Sea Green;#3CB371
Light Sea Green;#20B2AA
Pale Green;#98FB98
Spring Green;#00FF7F
Lawn Green;#7CFC00
Green;#00FF00
Chartreuse;#7FFF00
Med Spring Green;#00FA9A
Green Yellow;#ADFF2F
Lime Green;#32CD32
Yellow Green;#9ACD32
Forest Green;#228B22
Olive Drab;#6B8E23
Dark Khaki;#BDB76B
Pale Goldenrod;#EEE8AA
Lt Goldenrod Yello;#FAFAD2
Light Yellow;#FFFFE0
Yellow;#FFFF00
Gold;#FFD700
Light Goldenrod;#EEDD82
Goldenrod;#DAA520
Dark Goldenrod;#B8860B
Slate Gray 4;#6C7B8B
Light Steel Blue 1;#CAE1FF
Light Steel Blue 2;#BCD2EE
Light Steel Blue 3;#A2B5CD
Light Steel Blue 4;#6E7B8B
Light Blue 1;#BFEFFF
Light Blue 2;#B2DFEE
Light Blue 3;#9AC0CD
Light Blue 4;#68838B
Light Cyan 1;#E0FFFF
Light Cyan 2;#D1EEEE
Light Cyan 3;#B4CDCD
Light Cyan 4;#7A8B8B
Pale Turquoise 1;#BBFFFF
Pale Turquoise 2;#AEEEEE
Pale Turquoise 3;#96CDCD
Pale Turquoise 4;#668B8B
Cadet Blue 1;#98F5FF
Cadet Blue 2;#8EE5EE
Cadet Blue 3;#7AC5CD
Cadet Blue 4;#53868B
Turquoise 1;#00F5FF
Turquoise 2;#00E5EE
Turquoise 3;#00C5CD
Turquoise 4;#00868B
Cyan 1;#00FFFF
